"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
76,1,14707.78443,9772.18692,85.70669,1538.91998,206.30216,40.12352,13.20612
77,1,14894.39573,17088.41583,88.72933,1920.68085,150.58861,34.10879,9.74229
78,1,14960.1316,11946.63607,112.76892,2569.47734,133.45334,33.54587,11.23566
79,1,15106.85407,9564.83147,100.42597,4800.88953,192.03351,53.02837,7.60049
80,1,15049.71455,14904.66875,96.0549,4028.71061,174.43308,33.85916,5.52126
81,1,15036.96921,18864.13366,95.6828,3509.32175,153.28671,41.45645,7.49027
82,1,15338.52223,5589.61867,113.08974,6692.65232,154.45031,42.21091,5.57464
83,1,15328.32382,16423.8509,111.60123,1433.65133,165.72568,30.65096,17.83739
84,1,15422.1843,1656.00658,92.89189,1316.48859,120.03361,21.56543,10.00787
85,1,15761.48595,14026.17951,220.78346,5555.33163,146.9477,30.89867,17.60856
86,1,15865.58637,3177.58564,111.26885,2665.29337,141.07611,33.97702,10.7064
87,1,15852.58325,3572.17097,118.53538,2938.24775,145.48163,29.39274,9.58936
88,1,15925.12008,4529.63402,269.91015,25089.04749,0.00002,42.1416,8.03805
89,1,15941.2812,14747.76719,112.80872,4178.32672,175.04874,40.59329,8.398
90,1,16113.56498,9111.17104,103.95322,6500.0024,223.11007,56.68999,6.43124
91,1,16257.91118,14088.46675,141.77016,3492.93961,198.35504,40.44698,15.3029
92,1,16265.84843,16084.58154,93.49091,1659.82096,185.49264,32.79267,11.88642
93,1,16338.29916,7901.48456,138.30887,9567.49535,171.61305,61.2649,8.108
94,1,16375.49675,10637.33984,110.00477,3786.61821,148.31947,41.93116,9.08367
95,1,16651.6741,15095.26131,99.35651,4363.34385,228.68307,44.5466,6.95277
96,1,16808.9621,4483.29961,147.67938,6479.58758,122.78134,34.31127,7.79618
97,1,16857.79737,5137.89389,171.55047,7285.99921,117.80747,46.49263,12.26924
98,1,16843.54068,13212.98142,119.67042,4079.6581,133.47659,38.33918,9.09296
99,1,16947.22523,14276.79502,186.54832,7749.74701,165.18535,55.31808,16.04854
100,1,16958.58765,7866.00707,151.8909,8716.07985,128.46601,64.57596,11.16692
101,1,17089.24417,17988.91112,162.45724,2746.65257,167.27428,36.76447,22.95113
102,1,17061.33475,8170.17938,131.60481,5852.34255,193.52014,54.38832,10.6434
103,1,17134.69301,16168.36905,118.95387,3059.09332,187.11307,36.2824,11.27958
104,1,17010.45188,1253.27155,176.27543,2158.99315,113.17489,30.08001,28.04247
105,1,17104.38286,5140.57276,197.96162,9032.82314,140.13252,52.83882,14.8155
106,1,17194.26631,5665.93329,85.22171,2091.7143,207.63419,47.67122,11.41467
107,1,17242.42242,2864.46292,96.45534,1788.11859,136.03869,30.82179,11.05454
108,1,17272.04648,15141.32128,125.19972,5197.00095,261.52348,53.27519,10.66328
109,1,17282.19273,18293.22427,151.49967,4187.61955,152.39704,43.50552,15.59841
110,1,17438.95041,4569.31646,134.87322,4555.48316,190.43435,46.12377,12.17017
111,1,17392.57304,8805.57584,80.38195,1035.8358,292.23263,42.0431,18.11052
112,1,17366.6267,13488.97987,106.33311,1733.96296,204.94161,46.46064,20.17061
113,1,17657.78754,19806.67182,97.31308,1013.00647,126.74748,24.75733,15.85616
