"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
76,1,14413.1645,11426.55451,122.35529,4729.157,135.18101,42.4129,9.02624
77,1,14523.97602,7815.83005,169.86095,3118.26535,75.22807,26.59104,16.20372
78,1,14673.19934,10507.80782,108.32021,1920.5466,88.85125,25.34114,10.66042
79,1,14654.78487,14325.3869,99.03885,1792.72205,104.01385,30.59397,11.49264
80,1,14754.34871,9830.45842,116.23581,2915.19666,135.19268,31.41888,9.90482
81,1,14956.60323,17224.36834,83.77512,918.66518,94.66073,20.15319,11.02707
82,1,15030.59315,12025.235,299.54518,10874.29339,16.33141,24.78111,13.42299
83,1,15095.3612,14961.85743,101.77299,2102.67736,109.81573,29.96012,10.16433
84,1,15161.86072,9584.09744,84.89973,1389.80283,128.84319,37.20341,13.34465
85,1,15148.35114,18971.15629,90.47428,2005.82115,93.94541,26.62132,7.73858
86,1,15290.37855,7186.13852,56.15386,293.77548,88.47852,17.3521,14.39926
87,1,15425.5807,5603.54602,99.66333,2362.00293,100.23247,25.97118,7.71004
88,1,15596.49322,1684.79212,76.66043,375.87498,83.96915,14.45418,16.34987
89,1,16015.34141,14085.12233,432.40755,39068.03174,0.64605,39.08037,12.09527
90,1,16005.60454,3149.98878,97.69416,932.90839,97.79772,23.66665,16.58148
91,1,15981.54121,3579.34348,112.70849,2651.43582,93.80056,29.68516,9.72973
92,1,16055.39229,14811.87982,109.94822,1887.90041,117.46236,28.5989,12.44481
93,1,16122.72901,4501.13329,112.59189,2010.27189,122.97138,34.62003,14.64219
94,1,16198.65873,9144.83474,81.01979,2926.54681,138.57081,32.76809,5.37241
95,1,16222.21172,14052.064,150.1873,4358.87981,139.70908,46.04918,15.5776
96,1,16294.24701,16182.78257,172.60844,2275.18149,91.56299,26.54222,22.67537
97,1,16442.11583,7919.47771,94.05371,2710.95798,140.20858,48.06238,10.69838
98,1,16486.41063,10668.59643,128.99428,2590.20291,75.10719,24.70448,10.79471
99,1,16753.82542,15187.08945,88.60587,2290.7692,134.54717,27.3673,6.74803
100,1,16950.1078,4448.45137,76.23471,893.39994,115.72314,28.78005,13.26976
101,1,16998.9232,5211.02851,146.8411,2364.72074,92.62756,29.83705,17.91872
102,1,16919.28579,13252.38953,120.90864,1428.11873,84.53373,25.29611,17.34499
103,1,17024.48509,14385.46582,188.64786,2350.88615,120.06529,31.3776,30.64172
104,1,17029.69487,1232.35703,110.4652,841.38179,90.38805,24.19127,23.50004
105,1,17085.59273,7900.04443,143.59635,3208.92358,105.11689,40.26426,16.96618
106,1,17217.88941,8698.04937,184.30491,3440.76866,105.40528,28.60893,18.44398
107,1,17121.39797,6275.23771,33.68712,280.48492,101.60901,21.74926,8.69944
108,1,17201.67359,18145.72494,165.51081,1874.81747,97.27064,30.5159,28.92676
109,1,17268.69184,5682.19823,132.59323,2165.29128,96.99681,26.91427,14.60289
110,1,17221.51526,8187.06472,98.61742,3427.71896,135.00305,38.67126,7.59307
